profile_filename,helmet_positioning,num_epochs,classifier,computing_time,epoch_duration,epoch_size,num_filters,test_size,accuracy,targets,non_targets,TP,FP,TN,FN,(TP/(TP+FP),TN/(TN+FN),TP/(TP+FN),TN/(TN+FP)
felipevieirafrujeri_2016_11_12_16_36,normal,273,ClassifierType.lda,1.5591070652,0.7,89,1,0.2,0.763636363636,9,46,1,5,41,8,16,83,11,89
felipevieirafrujeri_2016_11_12_16_36,normal,273,ClassifierType.lda,1.49754190445,0.7,89,2,0.2,0.618181818182,9,46,3,15,31,6,16,83,33,67
felipevieirafrujeri_2016_11_12_16_36,normal,273,ClassifierType.lda,1.6948029995,0.7,89,3,0.2,0.618181818182,9,46,4,16,30,5,20,85,44,65
felipevieirafrujeri_2016_11_12_16_36,normal,273,ClassifierType.lda,2.18502497673,0.7,89,4,0.2,0.563636363636,9,46,2,17,29,7,10,80,22,63
felipevieirafrujeri_2016_11_12_16_36,normal,273,ClassifierType.lda,1.71751713753,0.7,89,1,0.3,0.682926829268,12,70,2,16,54,10,11,84,16,77
felipevieirafrujeri_2016_11_12_16_36,normal,273,ClassifierType.lda,1.54812812805,0.7,89,2,0.3,0.585365853659,12,70,4,26,44,8,13,84,33,62
felipevieirafrujeri_2016_11_12_16_36,normal,273,ClassifierType.lda,1.67539596558,0.7,89,3,0.3,0.548780487805,12,70,5,30,40,7,14,85,41,57
felipevieirafrujeri_2016_11_12_16_36,normal,273,ClassifierType.lda,1.75364398956,0.7,89,4,0.3,0.646341463415,12,70,2,19,51,10,9,83,16,72
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,2.47116208076,0.875,112,1,0.2,0.654545454545,13,42,1,7,35,12,12,74,7,83
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,2.90579199791,0.875,112,2,0.2,0.490909090909,13,42,5,20,22,8,20,73,38,52
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,2.61524391174,0.875,112,3,0.2,0.454545454545,13,42,7,24,18,6,22,75,53,42
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,2.68833613396,0.875,112,4,0.2,0.636363636364,13,42,3,10,32,10,23,76,23,76
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,2.74011516571,0.875,112,1,0.3,0.682926829268,17,65,2,11,54,15,15,78,11,83
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,2.48097586632,0.875,112,2,0.3,0.560975609756,17,65,6,25,40,11,19,78,35,61
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,2.69100379944,0.875,112,3,0.3,0.548780487805,17,65,8,28,37,9,22,80,47,56
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,2.87233495712,0.875,112,4,0.3,0.707317073171,17,65,6,13,52,11,31,82,35,80
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.06335496902,0.6,76,1,0.2,0.702702702703,9,28,3,5,23,6,37,79,33,82
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.16438889503,0.6,76,2,0.2,0.594594594595,9,28,6,12,16,3,33,84,66,57
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,0.933418989182,0.6,76,3,0.2,0.594594594595,9,28,6,12,16,3,33,84,66,57
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.356082201,0.6,76,4,0.2,0.594594594595,9,28,3,9,19,6,25,76,33,67
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,0.912055015564,0.6,76,1,0.3,0.654545454545,10,45,1,10,35,9,9,79,10,77
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,0.88498711586,0.6,76,2,0.3,0.618181818182,10,45,4,15,30,6,21,83,40,66
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.05703091621,0.6,76,3,0.3,0.563636363636,10,45,7,21,24,3,25,88,70,53
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,0.857747077942,0.6,76,4,0.3,0.672727272727,10,45,5,13,32,5,27,86,50,71
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.82389187813,0.7,89,1,0.2,0.72972972973,9,28,4,5,23,5,44,82,44,82
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.26736187935,0.7,89,2,0.2,0.540540540541,9,28,5,13,15,4,27,78,55,53
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.23630404472,0.7,89,3,0.2,0.702702702703,9,28,4,6,22,5,40,81,44,78
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.23832917213,0.7,89,4,0.2,0.621621621622,9,28,4,9,19,5,30,79,44,67
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.16881394386,0.7,89,1,0.3,0.654545454545,18,37,5,6,31,13,45,70,27,83
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.29126787186,0.7,89,2,0.3,0.472727272727,18,37,4,15,22,14,21,61,22,59
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.46515083313,0.7,89,3,0.3,0.618181818182,18,37,7,10,27,11,41,71,38,72
felipevieirafrujeri_2016_11_12_16_40,normal,181,ClassifierType.lda,1.90579509735,0.7,89,4,0.3,0.563636363636,18,37,7,13,24,11,35,68,38,64
felipevieirafrujeri_2016_11_12_16_40,normal,183,ClassifierType.lda,2.1810541153,0.875,112,1,0.2,0.72972972973,7,30,3,6,24,4,33,85,42,80
felipevieirafrujeri_2016_11_12_16_40,normal,183,ClassifierType.lda,2.32180714607,0.875,112,2,0.2,0.72972972973,7,30,6,9,21,1,40,95,85,70
felipevieirafrujeri_2016_11_12_16_40,normal,183,ClassifierType.lda,2.17715597153,0.875,112,3,0.2,0.648648648649,7,30,3,9,21,4,25,84,42,70
felipevieirafrujeri_2016_11_12_16_40,normal,183,ClassifierType.lda,2.03706693649,0.875,112,4,0.2,0.702702702703,7,30,1,5,25,6,16,80,14,83
felipevieirafrujeri_2016_11_12_16_40,normal,183,ClassifierType.lda,1.80984401703,0.875,112,1,0.3,0.763636363636,13,42,8,8,34,5,50,87,61,80
